detail_link,Tiêu đề,Địa chỉ,Hướng nhà,Hướng ban công,Diện tích (m2),Mức giá,Số phòng ngủ (phòng),Số phòng tắm (phòng),Mặt tiền (m),Đường vào (m),Pháp lý,Nội thất,Nội thất đầy đủ,Số tầng (tầng),Nội thất cơ bản,Nội thất trống,Mức giá (VNĐ),Quận/Huyện
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/-tien-ban-gap-3pn-2vs-view-toa-i2-gia-4-9-ty-bao-toan-bo-thue-phi-pr42167203,"Rất gấp: Chính chủ bán 3PN - 2VS, 4 tỷ 650, view hồ tòa I2 Imperia, (chỉ bán trong tuần)","Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",,,75.4,"{'value': 4650000000.0, 'unit': 'VNĐ'}",3.0,2.0,,,HĐMB,,,,,,4650000000.0,Nam Từ Liêm
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-huyen-phuong-quan-hoa/tin-chuan-8-5ty-ban-gap-40m2-6t-thang-may-xay-moi-30m-ra-pho-ngo-rong-pr43094298,"Tin chuẩn 8.5tỷ - bán gấp Nguyễn Văn Huyên, 40m2 6T thang máy, xây mới, 30m ra phố, ngõ rộng","Đường Nguyễn Văn Huyên, Phường Quan Hoa, Cầu Giấy, Hà Nội",,,40.0,"{'value': 8500000000.0, 'unit': 'VNĐ'}",3.0,5.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,6.0,,,8500000000.0,Cầu Giấy
https://batdongsan.com.vn/ban-nha-rieng-pho-chua-lang-phuong-lang-thuong/phan-lo-2-lan-o-to-kinh-dianh-vo-dich-dan-xay-vua-o-kinh-doanh-6-tang-4-ngu-pr43125652,PHÂN LÔ CHÙA LÁNG- 2 LÀN Ô TÔ- KINH DIANH VÔ ĐỊCH- NHÀ DÂN XÂY- VỪA Ở KINH DOANH 6 TẦNG 4 NGỦ,"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",,,30.0,"{'value': 7000000000.0, 'unit': 'VNĐ'}",4.0,3.0,3.5,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,True,6.0,,,7000000000.0,Đống Đa
https://batdongsan.com.vn/ban-dat-duong-thiet-binh-xa-van-ha-1/ban-lo-dt-61m2-mt5m-ngay-ho-dieu-hoa-gia-3-7-ty-lh-pr43125346,"Bán lô đất Thiết Bình, Vân Hà dt 61m2, Mt5m ngay hồ điều hoà giá 3,7 tỷ lh 0896 593 ***","Đường Thiết Bình, Xã Vân Hà, Đông Anh, Hà Nội",,,61.0,"{'value': 3700000000.0, 'unit': 'VNĐ'}",,,,,Sổ đỏ/ Sổ hồng,,,,,,3700000000.0,Đông Anh
https://batdongsan.com.vn/ban-dat-phuong-duong-noi/mot-manh-duy-nhat-doi-ha-dong-ket-le-trong-tan-kdt-nam-cuong-le-quang-dao-pr43125168,"Một mảnh duy nhất đường đôi Dương Nội, Hà Đông, kết nối Lê Trọng Tấn, KĐT Nam Cường, Lê Quang Đạo","Phường Dương Nội, Hà Đông, Hà Nội",,,50.0,"{'value': 9000000000.0, 'unit': 'VNĐ'}",,,5.0,10.0,,,,,,,9000000000.0,Hà Đông
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-canh-di-phuong-dai-kim-prj-khu-do-thi-dai-kim/hot-hot-ban-kdt-55m2-x-5-tang-10m-sdcc-15-5-ty-pr42983285,"Hot hot, bán liền kề KĐT Đại Kim - Nguyễn Cảnh Dị - 55m2 x 5 tầng, đường 10m. SĐCC - 15.5 tỷ","Dự án KĐT Đại Kim, Đường Nguyễn Cảnh Dị, Phường Đại Kim, Hoàng Mai, Hà Nội",,,55.0,"{'value': 15500000000.0, 'unit': 'VNĐ'}",,,8.0,10.0,Sổ đỏ,,,5.0,,,15500000000.0,Hoàng Mai
https://batdongsan.com.vn/ban-nha-rieng-phuong-nguyen-trung-truc/-tam-pho-co-lo-goc-3-thoang-20m-ra-mat-pho-vai-phut-ra-ho-guom-ho-tay-lang-bac-pr43117908,"Trung tâm phố cổ - Lô góc 3 thoáng - 20m ra mặt phố - Vài phút ra Hồ Gươm, Hồ Tây, Lăng Bác...","Phường Nguyễn Trung Trực, Ba Đình, Hà Nội",,,32.0,"{'value': 9950000000.0, 'unit': 'VNĐ'}",3.0,4.0,7.0,,Sổ đỏ/ Sổ hồng,,,4.0,,,9950000000.0,Ba Đình
https://batdongsan.com.vn/ban-dat-xa-phuong-trung-1/chinh-chu-can-ban-nen-72-4m2-nen-canh-truong-cho-va-diem-xe-bus-pr43122490,"CHÍNH CHỦ CẨN BÁN ĐẤT NỀN 72,4M2 ĐÂT NỀN PHƯƠNG TRUNG - CẠNH TRƯỜNG , CHỢ VÀ ĐIỂM XE BUS","Xã Phương Trung, Thanh Oai, Hà Nội",Đông,,72.4,"{'value': 3200000000.0, 'unit': 'VNĐ'}",,,4.0,3.5,Sổ đỏ/ Sổ hồng,,,,,,3200000000.0,Thanh Oai
https://batdongsan.com.vn/ban-nha-rieng-duong-vu-trong-phung-phuong-thanh-xuan-trung/-thang-may-6-tang-20m-ra-pho-nguyen-tuan-nguyen-trai-quan-nhan-pr43120566,Vũ Trọng Phụng - Thang Máy - 6 Tầng - 20M ra Phố - Nguyễn Tuân - Nguyễn Trãi - Quan Nhân.,"Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",,,40.0,"{'value': 11800000000.0, 'unit': 'VNĐ'}",3.0,4.0,3.5,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,True,6.0,,,11800000000.0,Thanh Xuân
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-mac-thi-buoi-phuong-vinh-tuy-prj-hoa-binh-green-city/ban-nhieu-gia-tot-lien-he-xem-nha-0974-212-784-pr25757603,Bán nhiều căn giá tốt chung cư Hoà Bình Green City liên hệ xem nhà: 0974 212 ***,"Dự án Hòa Bình Green City, Phố Mạc Thị Bưởi, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,,70.0,"{'value': 4600000000.0, 'unit': 'VNĐ'}",2.0,2.0,,,Hợp đồng mua bán và sổ đỏ,Cao cấp,,,,,4600000000.0,Hai Bà Trưng
https://batdongsan.com.vn/ban-nha-mat-pho-phuong-ha-cau/b-an-to-hieu-dong-tohieu-dong-pn-lo-61m2-5-tang-mt-4-7m-quyen-luc-gia-16-5ty-pr43120513,"B án nhà phố Tô Hiệu - Hà Đông #Tohieu #Hadong . Phân lô 61m2 5 tầng Mt 4,7m quyền lực. Giá 16,5tỷ","Phường Hà Cầu, Hà Đông, Hà Nội",,,61.0,"{'value': 16500000000.0, 'unit': 'VNĐ'}",6.0,5.0,4.7,10.5,Sổ đỏ/ Sổ hồng,Đầy đủ,True,5.0,,,16500000000.0,Hà Đông
